crop_height_ft,crop_distance_ft
2.86,1.0
3.27,0.7
3.11,1.0
3.02,0.8
2.71,0.7
2.71,0.8
2.64,1.0
3.21,0.8
3.02,0.7
3.1,0.8
2.61,0.7
3.28,0.6
3.18,0.7
2.75,0.7
2.73,0.7
2.73,0.7
2.81,0.8
2.97,0.7
2.9,0.7
2.8,0.9
3.03,0.8
2.7,0.8
2.8,0.7
2.86,0.7
2.92,0.6
3.15,0.7
2.74,0.7
2.96,0.7
3.01,0.6
2.63,0.7
3.03,0.8
2.72,0.7
2.65,0.7
3.26,0.8
3.28,0.8
3.17,0.6
2.81,0.8
2.67,0.8
3.08,0.6
2.91,0.9
2.69,1.0
2.95,0.6
2.62,0.7
3.24,0.9
2.78,0.8
3.06,0.7
2.82,0.7
2.96,0.7
2.98,0.8
2.73,0.8
3.28,0.7
3.14,0.8
3.26,0.8
3.23,0.6
3.02,0.7
3.25,0.8
2.66,0.9
2.74,0.8
2.63,0.8
2.83,0.7
2.87,0.7
2.79,0.8
3.18,0.7
2.85,0.7
2.8,0.7
2.98,0.6
2.7,0.7
3.16,0.7
2.65,0.7
3.29,0.7
3.14,0.9
2.74,0.8
2.6,0.8
3.17,0.8
3.09,0.8
3.11,0.6
3.14,0.8
2.65,0.8
2.85,0.8
2.68,0.7
3.2,0.7
3.04,0.7
2.83,0.7
2.64,0.8
2.82,0.8
2.83,0.7
3.11,1.0
3.05,0.8
3.22,0.7
2.93,0.7
2.68,0.7
3.1,0.7
3.13,0.7
2.99,0.7
3.14,0.7
2.95,0.7
2.97,0.9
2.9,0.6
2.62,0.8
2.68,0.7
2.62,1.0
3.05,0.7
2.82,0.7
2.96,1.0
3.24,0.9
2.77,0.9
2.89,0.7
3.13,0.7
2.76,0.8
2.65,1.0
2.8,0.8
2.71,0.8
3.25,0.7
3.17,0.8
3.04,0.7
3.21,0.7
3.16,0.7
2.73,0.8
3.22,0.7
2.98,0.7
3.17,0.8
3.23,0.7
2.82,0.8
2.68,0.7
2.76,0.8
2.9,0.8
3.17,0.6
3.2,0.7
2.6,0.7
2.96,0.6
2.89,1.0
2.76,0.7
2.68,0.9
2.84,0.7
3.26,0.8
2.83,0.8
2.96,0.8
3.09,0.8
2.85,0.7
3.28,0.7
3.27,1.0
2.78,0.9
2.95,1.0
2.81,0.7
2.8,0.8
2.63,1.0
3.03,0.7
2.95,0.6
2.64,0.8
2.8,0.8
3.24,0.9
2.77,0.7
2.7,0.8
2.94,0.7
3.29,0.7
2.77,0.7
3.07,0.9
3.13,0.8
2.77,0.8
3.11,0.7
2.86,0.9
3.04,0.7
3.04,0.9
2.98,0.7
2.66,0.7
3.18,0.8
2.82,0.7
2.73,0.8
2.63,0.8
3.01,0.7
3.07,0.9
2.61,0.7
2.96,0.8
2.76,1.0
3.05,0.8
2.72,0.7
3.08,1.0
2.87,0.8
